Product Status,Product ID ,Item Description ,Supplier Name ,Brand Name ,Sub Name  ,Product Description ,Container Name ,Size Description ,Extended Product Description,Product Class Description,On Hand  ,Sales Current ,Date Last Received,On Order
Active,61010,3D BLUE 12/16 CAN,3D ENERGY,3D ENERGY,3D BLUE,12/16 CAN,2023-12-16 00:00:00,,3D ENERGY BLUE,NB,197,0,20230504,0
Active,61014,3D PURPLE 12/16 CAN,3D ENERGY,3D ENERGY,3D PURPLE,12/16 CAN,2023-12-16 00:00:00,,3D ENERGY PURPLE,NB,138,0,20230504,0
Active,301995,6/750  80 PROOF BLUELAVA TEQ,80 PROOF IMPORTS,80 PROOF IMPOR,80 PROOF,BLUELAVA TEQ,6/750ML,6/750,,SPIRITS,208,0,20230503,0
Active,60098,AE WITCHSBREW 4/6C,ALANI,ALANI ENERGY,AE WITCHSBREW,4/6C,24/12,,ALAINI NU WITCHES BREW SIX PACK CANS,NB,0,0,20230830,0
Active,60099,AE KIMADE 4/6C,ALANI,ALANI ENERGY,AE KIMADE,4/6C,24/12,,ALANI ENERGY KIMADE SIX PACK CANS,NB,0,0,0,0
Active,61000,AE BLUE SLUSH 4/6 CAN,ALANI,ALANI ENERGY,AE BLUE SLUSH,4/6 CAN,24/12,,ALANI BLUE SMASH SIX PACK CANS,NB,141,1,20230829,0
Active,61001,AE COSMIC STAR 4/6 CAN,ALANI,ALANI ENERGY,AE COSMIC STAR,4/6 CAN,24/12,,ALANI COSMIC STARDUST SIX PACK CANS,NB,161,3,20230829,0
Active,61002,AE HAWAIIANICE 4/6 CAN,ALANI,ALANI ENERGY,AE HAWAIIANICE,4/6 CAN,24/12,,AE HAWAIIAN SHAVED ICE SIX PACK CAN,NB,137,0,20230609,0
Active,61005,AE CHERRYSLUSH 4/6 CAN,ALANI,ALANI ENERGY,AE CHERRYSLUSH,4/6 CAN,24/12,,ALANI CHERRY SLUSH SIX PACK CAN,NB,0,0,20230829,0
Active,61007,AE BREEZEBERRY 4/6 CAN,ALANI,ALANI ENERGY,AE BREEZEBERRY,4/6 CAN,24/12,,ALANI BREEZEBERRY SIX PACK CANS,NB,79,1,20230807,0
Active,61008,AE JUICYPEACH 4/6C,ALANI,ALANI ENERGY,AE JUICYPEACH,4/6C,24/12,,ALANI ENERGY JUICY PEACH SIX PACK CAN,NB,50,0,20230807,0
